date,open,high,low,close,volume
2015-07-16,5293.439,5540.955,5168.299,5437.807,77851238400
2015-07-17,5471.02,5733.79,5460.789,5691.548,75405881600
2015-07-20,5718.518,5846.092,5658.375,5768.487,86084531200
2015-07-21,5704.649,5876.186,5656.365,5830.521,77977363200
2015-07-22,5821.589,5892.755,5739.408,5869.744,82041811200
2015-07-23,5876.387,6044.362,5855.042,6026.952,89072294400
2015-07-24,6038.908,6121.442,5897.019,5940.257,98110150400
2015-07-27,5822.251,5956.151,5476.936,5478.875,88028051200
2015-07-28,5243.975,5543.412,5150.566,5375.72,89988518400
2015-07-29,5438.956,5591.848,5280.033,5590.312,69883148800
2015-07-30,5566.201,5671.854,5412.873,5433.395,72139251200
2015-07-31,5359.026,5485.029,5313.999,5380.009,55545561600
2015-08-03,5302.48,5353.508,5178.116,5270.294,57845702400
2015-08-04,5269.304,5507.717,5250.389,5507.631,58965932800
2015-08-05,5502.364,5568.003,5398.498,5433.984,60512486400
2015-08-06,5325.869,5470.494,5310.251,5400.551,45083468800
2015-08-07,5451.417,5555.906,5443.841,5547.108,56423328000
2015-08-10,5609.368,5838.964,5592.022,5811.7,78229465600
2015-08-11,5816.041,5893.687,5776.743,5822.534,85030188800
2015-08-12,5762.851,5850.973,5747.141,5748.499,69356070400
2015-08-13,5726.113,5871.54,5681.568,5871.145,68457792000
2015-08-14,5911.725,5960.023,5860.805,5898.585,76190400000
2015-08-17,5878.683,5965.399,5828.903,5963.358,75647488000
2015-08-18,5973.558,5984.868,5547.489,5561.444,89473702400
2015-08-19,5400.275,5702.881,5279.701,5674.276,77495852800
2015-08-20,5616.966,5691.619,5490.647,5490.647,64749651200
2015-08-21,5397.412,5465.015,5199.235,5215.021,60646572800
2015-08-24,4994.258,5017.411,4781.26,4788.035,51121401600
2015-08-25,4463.342,4607.507,4423.777,4442.484,55084249600
